msk_instl_loan_user,msk_other_lending_user,msk_ever_loan_user,msk_mth_since_last_limit_review,msk_unauth_over_card_limit,dummy_cus_key
N,N,0,4,0,A017845
N,N,0,23,0,A017846
N,N,0,99,0,A017847
N,N,0,149,0,A017848
N,N,0,25,0,A017849
N,N,0,1,0,A017850
N,N,0,181,0,A017851
N,N,0,14,1,A017852
N,N,0,49,0,A017853
N,N,0,162,0,A017854
N,N,0,,0,A017855
N,N,1,25,0,A017856
N,N,0,8,0,A017857
N,N,0,122,0,A017858
N,N,0,3,0,A017859
N,N,0,9,1,A017860
N,N,1,37,0,A017861
N,Y,0,24,1,A017862
N,N,0,57,0,A017863
N,N,0,146,0,A017864
N,N,0,181,0,A017865
N,N,1,27,0,A017866
N,N,0,7,0,A017867
N,N,0,22,0,A017868
N,N,0,118,0,A017869
N,N,0,17,0,A017870
N,N,0,120,0,A017871
N,Y,0,,0,A017872
N,N,0,8,0,A017873
N,N,0,54,0,A017874
N,N,0,20,0,A017875
N,N,0,9,0,A017876
N,N,0,2,0,A017877
N,Y,1,58,1,A017878
Y,N,1,,0,A017879
N,N,0,44,0,A017880
Y,N,1,1,1,A017881
N,N,0,3,0,A017882
N,N,0,15,0,A017883
N,N,0,18,0,A017884
N,N,0,171,0,A017885
N,N,0,108,0,A017886
N,N,0,66,0,A017887
N,N,0,15,0,A017888
N,N,0,62,0,A017889
N,N,0,59,0,A017890
N,N,0,,1,A017891
N,N,0,4,0,A017892
N,Y,1,8,1,A017893
N,N,0,57,0,A017894
N,Y,1,7,0,A017895
N,N,0,189,0,A017896
N,Y,1,,0,A017897
N,N,0,17,0,A017898
Y,N,1,136,0,A017899
N,N,1,30,1,A017900
N,N,0,27,1,A017901
N,N,0,6,0,A017902
N,N,0,30,0,A017903
N,N,0,,0,A017904
N,N,1,2,1,A017905
N,N,0,57,0,A017906
Y,N,1,54,0,A017907
N,N,0,3,0,A017908
N,N,0,183,0,A017909
N,N,0,1,0,A017910
N,Y,0,0,1,A017911
N,N,0,12,0,A017912
N,N,0,5,1,A017913
Y,N,1,,0,A017914
N,Y,1,12,1,A017915
N,N,0,15,0,A017916
N,N,0,36,0,A017917
N,N,0,28,0,A017918
N,Y,0,45,0,A017919
Y,N,1,8,0,A017920
N,N,0,14,1,A017921
N,N,0,0,0,A017922
N,N,0,89,0,A017923
N,N,0,27,0,A017924
N,N,0,,0,A017925
N,N,0,57,0,A017926
N,N,1,2,0,A017927
N,N,0,13,0,A017928
N,Y,1,,0,A017929
N,N,0,2,0,A017930
N,N,0,46,0,A017931
N,N,0,46,0,A017932
N,N,0,26,0,A017933
N,N,0,,0,A017934
N,N,0,2,0,A017935
N,N,0,4,0,A017936
Y,N,1,21,0,A017937
N,Y,1,21,0,A017938
N,N,1,180,0,A017939
Y,N,1,10,0,A017940
N,N,0,58,0,A017941
N,N,0,94,0,A017942
N,N,0,13,0,A017943
N,N,0,30,0,A017944
N,N,0,81,0,A017945
N,N,0,54,0,A017946
N,N,0,171,0,A017947
N,N,0,0,0,A017948
N,N,0,25,0,A017949
Y,N,1,18,1,A017950
N,N,0,28,0,A017951
N,N,0,26,1,A017952
N,N,1,11,0,A017953
N,N,0,28,0,A017954
N,N,0,16,0,A017955
N,N,0,11,0,A017956
N,N,0,20,0,A017957
N,N,0,11,0,A017958
N,N,0,100,0,A017959
N,N,0,6,0,A017960
N,Y,1,9,0,A017961
N,N,0,17,0,A017962
N,N,1,79,0,A017963
N,N,0,53,1,A017964
N,N,0,10,0,A017965
N,N,0,22,0,A017966
N,N,0,4,0,A017967
N,N,0,15,0,A017968
N,Y,1,2,1,A017969
N,N,0,123,0,A017970
N,Y,1,14,1,A017971
N,N,0,9,0,A017972
N,N,0,124,0,A017973
N,N,0,27,0,A017974
N,N,0,31,0,A017975
N,Y,1,124,0,A017976
N,N,0,12,0,A017977
N,N,0,2,1,A017978
N,N,0,8,0,A017979
N,N,0,8,1,A017980
N,N,1,,0,A017981
N,N,0,0,0,A017982
N,N,0,4,0,A017983
N,N,0,,0,A017984
N,N,0,19,0,A017985
N,N,0,91,0,A017986
N,N,0,52,0,A017987
N,N,0,66,0,A017988
N,N,0,9,0,A017989
N,N,0,153,0,A017990
N,N,0,3,0,A017991
N,N,0,11,0,A017992
N,N,0,7,0,A017993
N,N,0,9,0,A017994
N,N,0,4,0,A017995
N,N,0,53,0,A017996
N,N,1,19,0,A017997
N,N,0,0,1,A017998
N,N,0,26,1,A017999
N,Y,1,65,0,A018000
N,N,0,18,0,A018001
N,N,0,12,0,A018002
N,Y,1,33,0,A018003
N,N,0,23,0,A018004
N,N,0,124,0,A018005
N,N,0,97,0,A018006
N,N,0,69,0,A018007
Y,N,1,21,0,A018008
N,N,0,0,0,A018009
Y,N,1,,0,A018010
N,N,0,4,0,A018011
N,N,0,76,0,A018012
N,N,0,7,0,A018013
N,N,0,6,0,A018014
N,N,0,139,0,A018015
N,N,0,66,0,A018016
N,N,0,0,0,A018017
Y,N,1,0,1,A018018
N,Y,1,30,0,A018019
N,N,0,3,0,A018020
N,N,0,46,0,A018021
Y,N,1,19,0,A018022
N,N,0,33,0,A018023
N,N,0,41,0,A018024
N,Y,1,3,1,A018025
N,N,0,9,0,A018026
N,N,0,12,0,A018027
N,N,0,130,0,A018028
N,N,1,15,0,A018029
N,N,0,25,0,A018030
N,N,0,4,1,A018031
N,N,0,21,0,A018032
Y,N,1,56,0,A018033
N,N,0,19,0,A018034
N,N,0,18,1,A018035
N,N,0,50,0,A018036
N,N,0,8,0,A018037
N,N,0,51,0,A018038
N,N,0,1,1,A018039
N,N,0,180,0,A018040
Y,N,1,6,0,A018041
N,N,0,10,0,A018042
N,N,1,24,0,A018043
N,N,1,12,1,A018044
N,N,0,12,1,A018045
N,N,0,124,0,A018046
N,N,1,0,0,A018047
N,N,0,33,0,A018048
N,N,0,10,0,A018049
N,N,0,42,0,A018050
N,N,0,3,0,A018051
N,N,0,4,0,A018052
N,N,0,0,0,A018053
Y,N,1,5,0,A018054
N,N,0,56,0,A018055
N,N,0,25,0,A018056
N,N,0,186,0,A018057
N,Y,1,1,1,A018058
N,N,0,113,0,A018059
N,N,0,31,0,A018060
N,N,0,37,0,A018061
N,N,0,3,0,A018062
N,N,0,6,0,A018063
N,N,0,15,0,A018064
N,N,0,140,0,A018065
N,Y,1,57,1,A018066
N,N,1,3,0,A018067
N,Y,1,19,1,A018068
N,N,0,178,0,A018069
N,N,0,87,0,A018070
N,N,0,107,0,A018071
N,N,0,26,0,A018072
N,N,0,171,0,A018073
N,N,0,23,0,A018074
N,N,0,16,0,A018075
N,N,0,45,0,A018076
N,N,0,12,0,A018077
N,N,0,14,0,A018078
N,Y,1,37,1,A018079
N,N,0,75,1,A018080
N,N,0,4,0,A018081
N,N,0,50,0,A018082
N,N,0,66,0,A018083
Y,N,1,34,0,A018084
N,Y,1,3,1,A018085
Y,N,1,4,0,A018086
N,N,0,54,0,A018087
N,N,0,172,0,A018088
N,N,0,2,0,A018089
N,N,0,18,0,A018090
N,N,1,67,0,A018091
N,N,0,42,0,A018092
N,N,0,20,0,A018093
N,N,0,53,0,A018094
N,N,0,18,0,A018095
N,N,0,27,0,A018096
N,N,0,28,0,A018097
N,N,0,68,0,A018098
N,N,0,50,0,A018099
N,N,0,10,1,A018100
N,Y,1,,1,A018101
N,N,0,7,0,A018102
N,N,0,13,0,A018103
N,N,0,4,1,A018104
N,N,0,2,0,A018105
N,N,0,29,0,A018106
N,N,0,7,1,A018107
N,N,0,125,0,A018108
N,N,0,133,0,A018109
N,N,0,23,0,A018110
N,N,0,8,0,A018111
N,N,0,12,0,A018112
N,N,0,7,0,A018113
N,N,0,109,0,A018114
N,N,0,5,0,A018115
N,N,0,81,0,A018116
Y,N,1,,0,A018117
N,N,0,67,0,A018118
N,N,1,17,0,A018119
N,N,0,96,0,A018120
N,N,0,34,0,A018121
N,N,0,171,0,A018122
N,N,0,34,0,A018123
Y,N,1,3,1,A018124
N,N,0,10,0,A018125
N,N,0,0,0,A018126
N,N,0,186,0,A018127
N,N,0,68,0,A018128
N,N,0,15,0,A018129
N,Y,1,8,0,A018130
N,N,0,6,0,A018131
N,N,0,56,0,A018132
N,N,0,1,0,A018133
N,N,0,54,0,A018134
N,N,0,48,1,A018135
N,N,0,46,0,A018136
N,N,0,2,0,A018137
N,N,0,49,0,A018138
N,N,0,9,0,A018139
N,N,0,9,1,A018140
N,Y,1,,0,A018141
N,N,0,8,0,A018142
N,N,0,19,0,A018143
N,N,0,11,0,A018144
N,N,0,50,0,A018145
Y,N,1,,0,A018146
N,N,0,63,0,A018147
N,N,0,137,0,A018148
N,N,0,0,0,A018149
N,N,0,8,0,A018150
N,Y,1,0,0,A018151
N,N,0,7,0,A018152
N,N,0,186,0,A018153
N,N,0,74,0,A018154
N,N,0,40,0,A018155
N,N,0,27,0,A018156
N,N,0,12,1,A018157
N,N,0,83,0,A018158
Y,N,1,0,1,A018159
N,N,0,122,0,A018160
N,N,0,16,0,A018161
N,N,0,0,0,A018162
N,Y,1,85,0,A018163
N,N,0,6,1,A018164
Y,N,1,0,0,A018165
N,N,0,9,0,A018166
Y,N,1,20,1,A018167
N,Y,1,9,0,A018168
N,N,1,,1,A018169
N,Y,1,45,1,A018170
Y,N,1,12,1,A018171
N,N,0,181,0,A018172
N,N,0,26,0,A018173
N,Y,1,1,0,A018174
N,N,0,3,0,A018175
N,N,0,26,0,A018176
N,N,0,7,0,A018177
N,N,0,60,0,A018178
N,N,0,4,0,A018179
N,Y,1,4,0,A018180
N,Y,1,66,1,A018181
N,N,0,129,0,A018182
N,N,0,7,0,A018183
N,N,0,40,1,A018184
N,Y,1,2,0,A018185
N,N,0,68,0,A018186
N,N,0,31,0,A018187
N,N,0,24,0,A018188
N,N,0,0,0,A018189
N,N,0,55,0,A018190
N,N,0,109,0,A018191
N,N,0,3,0,A018192
N,N,0,62,0,A018193
N,N,0,20,0,A018194
N,N,0,124,0,A018195
N,N,0,2,0,A018196
N,N,0,0,0,A018197
N,N,0,47,0,A018198
N,N,0,10,0,A018199
N,N,0,16,1,A018200
N,N,0,15,0,A018201
N,N,0,5,0,A018202
N,N,0,13,0,A018203
N,Y,1,,0,A018204
N,N,0,171,0,A018205
N,N,0,12,0,A018206
N,N,0,108,0,A018207
N,N,0,13,0,A018208
N,N,0,2,0,A018209
N,N,0,28,1,A018210
N,N,0,1,0,A018211
N,Y,1,6,1,A018212
N,N,0,26,0,A018213
N,N,0,7,0,A018214
N,N,0,6,1,A018215
N,N,0,137,0,A018216
N,N,0,8,1,A018217
N,N,0,40,0,A018218
N,N,0,1,0,A018219
N,N,0,75,1,A018220
N,N,0,16,0,A018221
N,N,1,0,0,A018222
N,N,0,12,0,A018223
N,Y,1,2,0,A018224
N,N,1,0,0,A018225
Y,N,1,40,0,A018226
N,N,0,10,0,A018227
N,N,0,195,0,A018228
N,Y,1,99,0,A018229
N,N,0,2,0,A018230
N,Y,1,56,1,A018231
N,Y,1,102,0,A018232
N,Y,1,5,1,A018233
N,N,0,28,1,A018234
N,N,0,75,0,A018235
N,N,0,4,0,A018236
N,N,0,3,0,A018237
N,N,0,10,0,A018238
N,N,0,17,0,A018239
N,N,0,6,0,A018240
N,N,0,14,0,A018241
N,N,0,10,0,A018242
N,N,0,37,0,A018243
N,N,0,71,0,A018244
Y,N,1,14,0,A018245
N,N,0,56,0,A018246
N,Y,1,31,0,A018247
N,Y,1,24,0,A018248
N,N,0,67,1,A018249
N,N,1,7,1,A018250
N,Y,1,0,1,A018251
N,N,0,118,0,A018252
N,N,0,4,0,A018253
N,N,0,64,0,A018254
Y,N,1,18,0,A018255
N,N,0,3,0,A018256
N,N,0,51,0,A018257
N,N,0,9,0,A018258
N,N,0,20,0,A018259
N,N,1,10,0,A018260
N,Y,1,98,1,A018261
N,N,0,5,0,A018262
N,N,0,25,0,A018263
N,N,0,5,0,A018264
N,N,0,2,0,A018265
N,N,0,69,0,A018266
Y,N,1,,1,A018267
N,N,0,56,1,A018268
N,N,0,88,1,A018269
N,N,0,1,0,A018270
N,N,0,93,0,A018271
N,Y,1,,1,A018272
N,N,0,20,0,A018273
N,N,0,16,0,A018274
N,N,0,11,0,A018275
N,N,0,40,0,A018276
Y,N,1,53,0,A018277
N,N,0,11,0,A018278
N,N,0,128,0,A018279
N,N,0,176,0,A018280
N,N,0,48,0,A018281
N,N,0,19,0,A018282
Y,N,1,16,0,A018283
N,N,0,148,0,A018284
N,N,0,69,0,A018285
N,N,0,54,1,A018286
N,N,0,52,0,A018287
N,N,0,73,0,A018288
N,N,0,10,0,A018289
N,Y,1,35,0,A018290
N,N,0,130,0,A018291
N,N,0,19,1,A018292
N,N,0,47,0,A018293
N,N,0,14,0,A018294
N,N,0,20,0,A018295
N,N,0,26,0,A018296
N,N,1,4,1,A018297
N,N,0,24,0,A018298
N,N,0,4,0,A018299
N,N,0,,0,A018300
N,N,0,71,0,A018301
N,N,0,34,1,A018302
N,N,0,35,1,A018303
Y,N,1,61,0,A018304
N,N,0,3,0,A018305
Y,N,1,0,1,A018306
N,Y,1,,0,A018307
Y,N,1,,0,A018308
N,N,0,9,0,A018309
N,N,0,30,0,A018310
N,N,0,10,0,A018311
N,N,1,31,0,A018312
N,Y,1,2,1,A018313
Y,N,1,6,0,A018314
N,Y,1,64,0,A018315
N,Y,0,29,0,A018316
N,N,0,38,0,A018317
N,N,0,7,0,A018318
N,N,0,48,0,A018319
N,N,0,1,0,A018320
N,N,0,33,0,A018321
N,N,0,59,0,A018322
N,N,0,7,0,A018323
N,N,0,68,0,A018324
N,Y,1,21,1,A018325
N,N,0,17,0,A018326
N,N,0,19,0,A018327
N,N,0,93,0,A018328
N,N,0,1,0,A018329
N,N,0,131,0,A018330
N,Y,1,50,1,A018331
N,N,0,13,0,A018332
N,N,0,69,0,A018333
N,N,0,18,0,A018334
N,N,0,5,0,A018335
N,N,0,152,0,A018336
N,N,0,9,1,A018337
N,N,0,97,0,A018338
N,N,0,167,0,A018339
N,N,0,,0,A018340
N,Y,0,10,0,A018341
Y,N,1,,1,A018342
N,N,0,4,0,A018343
N,Y,1,34,0,A018344
N,N,0,,0,A018345
N,N,0,3,0,A018346
N,Y,1,,0,A018347
Y,N,1,59,0,A018348
N,N,0,117,0,A018349
N,N,0,,0,A018350
N,N,0,19,0,A018351
N,N,0,146,0,A018352
N,N,0,100,0,A018353
N,N,0,19,0,A018354
N,N,0,14,0,A018355
N,N,0,4,0,A018356
Y,N,1,10,0,A018357
N,N,0,8,0,A018358
N,N,0,19,0,A018359
Y,N,1,38,1,A018360
N,N,0,0,0,A018361
N,N,0,103,0,A018362
N,N,0,7,1,A018363
N,N,0,38,0,A018364
N,N,0,20,0,A018365
N,N,0,1,0,A018366
N,N,0,41,0,A018367
N,N,0,16,0,A018368
N,N,0,2,0,A018369
N,N,0,37,0,A018370
N,N,0,171,0,A018371
N,N,0,168,0,A018372
N,N,0,35,1,A018373
N,N,0,16,0,A018374
N,N,0,71,0,A018375
N,N,0,11,1,A018376
N,N,1,29,0,A018377
N,N,0,61,0,A018378
Y,N,1,31,0,A018379
N,N,1,113,0,A018380
N,N,0,194,0,A018381
N,N,0,54,0,A018382
N,N,0,15,0,A018383
N,N,0,32,0,A018384
Y,N,1,7,0,A018385
N,N,1,108,0,A018386
Y,N,1,12,1,A018387
N,N,0,169,1,A018388
N,N,0,15,0,A018389
N,Y,1,63,0,A018390
N,N,0,1,0,A018391
N,N,0,7,0,A018392
N,N,0,62,0,A018393
N,N,0,1,1,A018394
N,N,0,25,1,A018395
N,N,0,141,0,A018396
N,N,0,11,0,A018397
Y,N,1,5,0,A018398
N,N,0,56,0,A018399
N,N,0,147,0,A018400
N,Y,1,181,1,A018401
N,N,0,70,0,A018402
N,N,0,27,0,A018403
Y,N,1,9,0,A018404
N,N,0,19,1,A018405
N,N,0,146,0,A018406
N,N,0,109,0,A018407
N,Y,1,,0,A018408
N,N,0,12,0,A018409
N,N,0,130,0,A018410
N,N,0,6,0,A018411
Y,N,1,118,0,A018412
N,N,0,32,0,A018413
N,Y,1,24,0,A018414
N,N,0,5,1,A018415
N,N,0,19,1,A018416
N,N,0,56,0,A018417
N,N,0,93,0,A018418
N,N,0,24,0,A018419
N,N,0,162,0,A018420
Y,N,1,21,0,A018421
N,N,0,50,0,A018422
N,N,0,49,0,A018423
N,N,0,167,0,A018424
N,N,0,11,0,A018425
N,N,0,,0,A018426
N,N,0,33,0,A018427
N,N,0,21,0,A018428
N,Y,1,,1,A018429
N,N,0,8,0,A018430
N,N,0,0,0,A018431
N,N,0,62,0,A018432
N,N,0,83,0,A018433
N,N,0,2,1,A018434
N,N,0,8,0,A018435
N,N,0,32,1,A018436
N,N,0,4,0,A018437
N,N,0,108,0,A018438
N,N,0,42,0,A018439
N,N,0,153,0,A018440
N,N,0,0,0,A018441
N,N,0,25,0,A018442
N,N,0,6,1,A018443
N,N,0,48,0,A018444
N,Y,1,9,0,A018445
N,N,1,23,0,A018446
N,N,1,65,0,A018447
N,N,0,124,0,A018448
N,N,0,67,1,A018449
N,N,0,62,0,A018450
N,N,0,14,0,A018451
N,N,0,97,0,A018452
N,N,0,10,1,A018453
N,N,0,188,0,A018454
N,N,0,17,0,A018455
N,N,0,17,0,A018456
N,N,0,4,0,A018457
N,N,0,6,0,A018458
N,N,1,179,0,A018459
N,Y,1,0,1,A018460
N,N,0,32,0,A018461
Y,N,1,1,0,A018462
N,N,0,108,0,A018463
N,N,0,0,0,A018464
N,N,0,34,0,A018465
N,N,0,45,0,A018466
N,N,0,44,0,A018467
N,Y,0,42,1,A018468
N,N,0,55,0,A018469
N,N,0,108,0,A018470
N,Y,0,134,1,A018471
N,N,0,59,0,A018472
N,N,0,32,0,A018473
N,N,0,190,0,A018474
N,N,0,5,0,A018475
N,N,0,20,0,A018476
N,Y,1,12,0,A018477
N,N,0,60,0,A018478
N,N,0,68,0,A018479
N,N,0,24,0,A018480
N,N,0,0,0,A018481
N,N,0,30,1,A018482
N,N,0,0,0,A018483
N,N,0,65,0,A018484
N,Y,1,,0,A018485
N,N,1,78,0,A018486
N,N,0,31,0,A018487
N,N,0,61,0,A018488
N,N,0,18,0,A018489
N,N,0,0,0,A018490
N,N,0,5,0,A018491
N,N,0,13,0,A018492
N,N,0,13,0,A018493
N,Y,1,109,0,A018494
N,N,0,7,1,A018495
N,N,0,39,0,A018496
N,N,0,9,1,A018497
N,N,0,31,0,A018498
N,N,0,19,0,A018499
N,N,1,99,0,A018500
N,N,0,148,0,A018501
N,N,0,33,0,A018502
N,N,0,1,1,A018503
N,N,0,9,0,A018504
N,Y,1,,1,A018505
N,N,0,17,0,A018506
N,N,0,,0,A018507
N,N,0,19,0,A018508
N,N,0,115,0,A018509
N,N,0,7,0,A018510
N,N,0,68,0,A018511
N,N,0,62,0,A018512
N,N,0,56,0,A018513
N,N,0,9,0,A018514
Y,N,1,26,1,A018515
N,N,0,19,0,A018516
N,N,0,,0,A018517
N,N,0,22,0,A018518
N,N,0,10,1,A018519
N,N,0,23,0,A018520
N,N,0,21,0,A018521
N,N,0,24,0,A018522
N,N,0,67,0,A018523
N,N,0,57,0,A018524
N,N,0,2,0,A018525
N,N,0,2,0,A018526
N,N,0,21,0,A018527
N,Y,1,84,0,A018528
N,N,0,87,0,A018529
N,N,0,136,0,A018530
N,Y,1,19,0,A018531
N,N,0,44,0,A018532
N,Y,1,7,0,A018533
N,N,0,15,0,A018534
N,N,0,19,0,A018535
N,N,0,4,1,A018536
N,N,0,11,0,A018537
N,N,0,40,0,A018538
N,N,0,1,0,A018539
N,N,0,65,0,A018540
N,N,0,16,0,A018541
N,N,0,47,0,A018542
N,N,0,26,0,A018543
N,N,0,35,0,A018544
N,N,0,124,0,A018545
N,N,0,136,0,A018546
N,N,0,2,0,A018547
N,N,0,2,0,A018548
Y,N,1,1,0,A018549
N,N,0,20,0,A018550
N,N,0,94,0,A018551
N,N,0,1,0,A018552
N,N,0,,0,A018553
N,N,0,11,0,A018554
N,Y,1,4,1,A018555
N,N,0,33,0,A018556
N,Y,1,,1,A018557
N,N,0,58,0,A018558
Y,N,1,,0,A018559
N,Y,1,,0,A018560
N,N,0,60,0,A018561
N,N,0,19,0,A018562
N,N,0,78,0,A018563
Y,N,1,38,0,A018564
N,N,0,12,0,A018565
N,N,0,30,0,A018566
Y,N,1,17,1,A018567
N,N,0,5,0,A018568
N,N,0,69,0,A018569
N,N,0,2,0,A018570
N,Y,1,0,0,A018571
N,N,0,167,0,A018572
N,N,0,13,0,A018573
N,N,0,18,1,A018574
N,N,0,14,0,A018575
N,N,0,23,0,A018576
N,N,0,135,0,A018577
N,N,0,59,1,A018578
N,N,0,18,0,A018579
N,N,0,0,0,A018580
N,N,0,5,0,A018581
Y,N,1,19,0,A018582
N,N,0,37,0,A018583
N,N,0,44,0,A018584
N,N,0,186,0,A018585
N,N,0,11,0,A018586
N,N,0,19,0,A018587
N,Y,1,118,0,A018588
N,Y,1,22,1,A018589
N,N,0,45,0,A018590
Y,N,1,,0,A018591
N,N,0,114,0,A018592
N,N,0,0,0,A018593
N,N,0,195,0,A018594
N,Y,0,56,1,A018595
Y,N,1,,0,A018596
N,N,0,4,0,A018597
N,N,0,45,0,A018598
N,Y,1,3,1,A018599
N,N,0,15,0,A018600
N,N,0,149,0,A018601
Y,N,1,1,0,A018602
N,N,0,0,0,A018603
N,N,0,21,0,A018604
N,Y,0,48,0,A018605
N,N,0,,0,A018606
N,N,0,12,0,A018607
Y,N,1,11,0,A018608
N,N,0,,0,A018609
N,N,0,181,0,A018610
N,N,0,38,0,A018611
N,N,0,45,0,A018612
N,N,0,8,0,A018613
N,N,0,1,0,A018614
Y,N,1,1,1,A018615
N,N,0,65,0,A018616
N,N,0,118,0,A018617
N,N,0,16,0,A018618
N,N,0,7,0,A018619
N,N,0,28,0,A018620
N,N,0,59,0,A018621
N,N,0,13,1,A018622
N,N,0,6,0,A018623
N,N,0,9,0,A018624
N,N,1,43,0,A018625
N,N,0,2,0,A018626
N,N,0,,0,A018627
Y,N,1,19,0,A018628
N,N,0,13,1,A018629
N,N,0,64,0,A018630
N,N,0,59,1,A018631
N,N,0,16,0,A018632
N,Y,1,10,1,A018633
N,N,0,0,0,A018634
N,N,0,115,1,A018635
N,N,0,99,0,A018636
N,N,0,63,0,A018637
N,N,0,11,0,A018638
N,N,0,114,0,A018639
N,N,0,12,0,A018640
N,N,0,41,0,A018641
N,N,0,62,0,A018642
N,N,0,5,0,A018643
N,N,0,12,0,A018644
N,N,0,0,0,A018645
N,N,0,84,0,A018646
Y,N,1,,0,A018647
N,Y,1,45,0,A018648
N,N,0,8,0,A018649
N,N,0,128,0,A018650
N,N,0,36,0,A018651
N,N,0,30,0,A018652
N,N,0,2,0,A018653
N,N,0,23,0,A018654
N,N,0,0,0,A018655
N,N,0,96,0,A018656
N,N,0,38,0,A018657
Y,N,1,,0,A018658
Y,N,1,,0,A018659
N,N,0,191,0,A018660
N,N,0,45,0,A018661
Y,N,1,14,0,A018662
N,N,0,52,0,A018663
N,N,0,36,0,A018664
N,N,0,12,0,A018665
N,N,0,4,0,A018666
N,Y,1,6,0,A018667
N,N,0,1,0,A018668
N,N,0,13,1,A018669
N,N,0,160,0,A018670
N,N,0,54,0,A018671
N,N,0,9,1,A018672
N,N,0,164,0,A018673
N,N,0,131,0,A018674
N,N,0,49,0,A018675
N,N,0,5,0,A018676
N,N,0,2,0,A018677
N,N,0,56,0,A018678
N,N,0,57,0,A018679
N,N,0,79,0,A018680
Y,N,1,,0,A018681
N,N,0,43,0,A018682
N,N,0,5,0,A018683
N,N,0,43,0,A018684
N,N,0,127,0,A018685
Y,N,1,23,1,A018686
Y,N,1,11,0,A018687
N,N,0,16,0,A018688
N,Y,1,30,0,A018689
N,N,0,37,0,A018690
N,N,0,18,0,A018691
N,N,0,87,0,A018692
Y,N,1,,0,A018693
Y,N,1,,0,A018694
N,N,0,16,0,A018695
N,N,0,4,0,A018696
N,N,0,13,1,A018697
Y,N,1,1,0,A018698
N,N,0,1,0,A018699
N,N,0,38,0,A018700
N,N,0,124,0,A018701
N,N,0,195,0,A018702
N,N,0,62,0,A018703
N,N,0,75,0,A018704
Y,N,1,21,0,A018705
N,N,1,2,0,A018706
N,N,0,2,0,A018707
N,N,0,66,1,A018708
N,N,0,9,1,A018709
N,N,1,4,0,A018710
N,N,0,65,0,A018711
N,N,0,9,0,A018712
N,N,0,76,0,A018713
N,N,0,3,0,A018714
N,N,0,104,0,A018715
N,N,0,31,0,A018716
N,N,0,56,0,A018717
N,Y,1,9,1,A018718
N,N,0,,0,A018719
N,N,0,169,0,A018720
N,N,0,25,0,A018721
N,N,0,19,0,A018722
Y,N,1,,0,A018723
N,N,0,0,0,A018724
N,Y,1,1,1,A018725
N,N,0,5,0,A018726
N,N,0,160,0,A018727
N,N,0,11,0,A018728
N,N,0,66,0,A018729
N,N,0,11,0,A018730
N,N,0,2,0,A018731
Y,N,1,21,1,A018732
N,N,0,30,0,A018733
N,N,0,50,0,A018734
N,N,0,96,0,A018735
Y,N,1,45,0,A018736
N,N,0,67,0,A018737
N,N,0,21,0,A018738
N,N,0,193,0,A018739
N,N,0,63,0,A018740
N,N,0,0,0,A018741
Y,N,1,53,0,A018742
N,N,0,12,0,A018743
N,N,0,71,0,A018744
N,N,0,13,0,A018745
N,N,0,32,0,A018746
N,N,0,14,0,A018747
N,N,0,19,0,A018748
N,N,1,48,1,A018749
N,N,0,59,1,A018750
N,N,0,79,0,A018751
N,Y,0,5,0,A018752
N,N,0,30,0,A018753
N,N,0,0,0,A018754
N,N,0,2,0,A018755
N,N,0,21,1,A018756
N,Y,1,2,0,A018757
N,N,0,48,0,A018758
N,N,0,19,0,A018759
N,N,0,0,0,A018760
N,N,0,10,1,A018761
N,Y,1,17,0,A018762
N,N,0,190,0,A018763
N,Y,1,38,1,A018764
N,N,0,96,0,A018765
N,Y,1,5,0,A018766
N,N,0,181,0,A018767
N,N,0,47,0,A018768
N,N,0,12,0,A018769
N,N,0,124,0,A018770
N,N,0,16,0,A018771
N,N,0,52,0,A018772
N,N,0,19,0,A018773
N,N,0,48,0,A018774
N,N,0,75,0,A018775
N,N,0,18,0,A018776
N,N,0,17,0,A018777
N,N,0,45,0,A018778
N,N,0,3,0,A018779
N,N,0,17,0,A018780
N,N,0,62,0,A018781
Y,N,1,69,0,A018782
N,N,0,171,0,A018783
N,N,0,12,0,A018784
N,N,0,12,0,A018785
N,N,0,37,1,A018786
N,N,0,26,0,A018787
N,N,1,49,0,A018788
N,N,0,126,1,A018789
N,N,0,61,0,A018790
N,N,0,180,0,A018791
N,N,0,4,0,A018792
N,Y,1,9,0,A018793
N,N,0,10,0,A018794
N,N,0,91,0,A018795
N,N,0,10,0,A018796
N,N,0,154,0,A018797
N,N,0,14,0,A018798
N,N,0,114,0,A018799
N,N,0,13,0,A018800
N,N,0,15,0,A018801
N,N,0,44,0,A018802
Y,N,1,,0,A018803
N,N,0,60,0,A018804
N,N,0,19,0,A018805
Y,N,1,59,0,A018806
N,N,0,61,0,A018807
N,Y,1,,0,A018808
N,N,0,97,0,A018809
N,N,0,11,0,A018810
N,N,0,185,0,A018811
N,N,0,8,1,A018812
N,N,0,,0,A018813
N,N,0,58,0,A018814
N,N,0,2,0,A018815
N,N,0,20,0,A018816
N,N,0,33,0,A018817
N,N,0,0,0,A018818
N,N,0,5,0,A018819
Y,N,1,19,0,A018820
N,N,0,137,0,A018821
N,N,0,106,0,A018822
N,N,0,89,0,A018823
N,Y,1,56,0,A018824
N,N,0,25,1,A018825
N,N,0,11,1,A018826
Y,N,1,9,1,A018827
N,N,0,2,0,A018828
N,N,0,2,1,A018829
N,N,0,109,0,A018830
